Designator,Footprint,Quantity,Value,LCSC Part #
J1,qtouch-wheel,1,Wheel,
J2,qtouch-button,1,Sel,
J3,qtouch-guard,1,Guard,
J4,PinHeader_1x05_P1.27mm_Vertical,1,Interface,
